op_nr,time
0,42.57
1,29.50
2,41.88
3,73.49
4,36.88
5,38.64
6,49.73
7,135.43
8,40.21
9,30.00
10,79.93
11,48.02
12,44.27
13,32.22
14,32.53
15,28.54
16,30.92
17,65.27
18,25.26
19,44.95
20,44.99
21,43.77
22,45.45
23,37.26
24,36.36
25,51.20
26,55.15
27,67.18
28,31.06
29,32.78
30,55.74
31,36.22
32,34.11
33,40.06
34,40.01
35,52.60
36,48.32
37,29.84
38,47.40
39,50.25
40,24.40
41,46.57
42,63.63
43,42.02
44,29.75
45,90.07
46,77.54
47,78.38
48,75.99
49,74.73
50,30.90
51,22.60
52,86.68
53,43.73
54,36.09
55,30.26
56,55.13
57,26.00
58,58.79
59,40.86
60,61.44
61,38.87
62,31.47
63,41.64
64,55.52
65,63.55
66,59.19
67,43.82
68,60.28
69,56.28
70,48.99
71,57.91
72,59.81
73,59.21
74,56.27
75,36.64
76,56.46
77,59.97
78,100.42
79,50.85
80,61.81
81,59.48
82,53.49
83,52.14
84,58.94
85,52.94
86,53.08
87,54.77
88,55.14
89,30.94
90,53.43
91,57.98
92,53.26
93,53.68
94,38.67
95,37.62
96,61.51
97,53.53
98,60.64
99,54.91
100,55.61
101,55.28
102,57.25
103,55.88
104,34.05
105,33.55
106,55.44
107,58.08
108,35.25
109,30.33
110,29.50
111,56.53
112,68.68
113,35.29
114,58.15
115,57.64
116,58.86
117,44.09
118,35.30
119,64.45
120,42.88
121,117.83
122,68.58
123,60.09
124,57.94
125,57.43
126,42.98
127,65.79
128,38.47
129,33.39
130,32.33
131,59.45
132,45.11
133,68.16
134,62.14
135,60.58
136,62.92
137,61.01
138,62.50
139,61.64
140,65.21
141,62.45
142,61.48
143,69.98
144,42.14
145,63.62
146,83.73
147,45.77
148,37.79
149,64.50
150,62.97
151,66.00
152,66.40
153,63.17
154,46.80
155,64.13
156,65.06
157,64.67
158,70.09
159,69.25
160,64.46
161,69.20
162,68.26
163,68.09
164,51.80
165,55.48
166,51.56
167,67.81
168,48.59
169,40.11
170,66.71
171,44.69
172,51.68
173,66.41
174,74.35
175,57.27
176,52.09
177,69.96
178,68.85
179,70.30
180,69.77
181,70.81
182,51.12
183,72.20
184,70.84
185,71.07
186,55.80
187,54.22
188,47.47
189,79.17
190,46.39
191,69.16
192,71.33
193,69.25
194,72.80
195,47.30
196,49.42
197,55.71
198,74.02
199,48.10
200,75.23
201,51.10
202,47.36
203,49.35
204,74.26
205,55.22
206,146.87
207,90.89
208,72.74
209,48.97
210,79.04
211,75.67
212,49.16
213,73.67
214,73.40
215,79.45
216,74.18
217,64.21
218,73.95
219,49.63
220,79.64
221,74.75
222,75.19
223,100.42
224,58.52
225,48.98
226,75.43
227,52.30
228,78.35
229,78.30
230,75.53
231,82.00
232,52.06
233,61.15
234,75.60
235,79.10
236,84.99
237,62.46
238,82.50
239,76.61
240,78.60
241,79.26
242,80.01
243,78.70
244,55.16
245,85.59
246,78.85
247,79.44
248,78.73
249,79.49
250,80.39
251,61.76
252,85.79
253,80.34
254,78.82
255,78.92
256,77.55
257,80.67
258,89.00
259,83.41
260,81.95
261,65.40
262,80.52
263,81.37
264,83.32
265,84.37
266,88.49
267,84.68
268,67.15
269,82.60
270,57.77
271,83.88
272,64.39
273,169.33
274,104.01
275,56.97
276,55.36
277,134.92
278,98.79
279,91.83
280,84.17
281,82.97
282,90.01
283,84.90
284,85.50
285,83.98
286,91.66
287,84.60
288,86.18
289,88.50
290,92.03
291,70.91
292,75.24
293,101.65
294,98.90
295,65.90
296,59.00
297,95.44
298,87.64
299,86.71
300,64.40
301,61.90
302,88.58
303,92.34
304,64.08
305,89.45
306,87.73
307,91.47
308,86.87
309,90.00
310,87.92
311,61.94
312,72.15
313,77.03
314,54.00
315,71.29
316,51.21
317,74.08
318,50.88
319,73.25
320,74.01
321,64.22
322,73.65
323,72.51
324,72.29
325,73.13
326,67.79
327,67.21
328,76.13
329,69.64
330,57.26
331,68.55
332,68.95
333,48.95
334,45.82
335,73.27
336,49.13
337,69.21
338,50.01
339,47.95
340,69.18
341,51.77
342,54.32
343,84.84
344,70.09
345,76.83
346,74.51
347,71.78
348,71.85
349,84.09
350,55.82
351,54.12
352,68.06
353,77.89
354,76.15
355,57.74
356,51.93
357,138.19
358,93.04
359,88.56
360,58.58
361,78.10
362,78.98
363,48.95
364,42.74
365,44.88
366,66.22
367,65.56
368,74.00
369,45.05
370,73.22
371,68.17
372,53.63
373,56.52
374,64.58
375,63.38
376,66.32
377,69.59
378,63.45
379,63.55
380,68.72
381,51.97
382,70.74
383,50.89
384,69.03
385,71.88
386,61.93
387,60.78
388,41.83
389,48.05
390,59.83
391,53.65
392,67.91
393,50.13
394,64.80
395,42.74
396,67.02
397,61.24
398,65.71
399,46.28
400,65.40
401,83.21
402,63.67
403,58.19
404,65.77
405,71.49
406,59.16
407,41.18
408,37.44
409,59.80
410,61.28
411,66.45
412,69.93
413,68.26
414,54.82
415,118.78
416,106.86
417,85.45
418,54.86
419,90.14
420,96.31
421,120.46
422,119.46
423,97.86
424,103.26
425,115.41
426,92.55
427,83.96
428,111.79
429,115.03
430,89.79
431,93.59
432,96.95
433,99.53
434,102.63
435,91.67
436,94.12
437,112.47
438,90.57
439,115.75
440,98.74
441,102.37
442,92.75
443,88.73
444,85.34
445,105.24
446,123.59
447,103.94
448,94.31
449,104.77
450,98.84
451,109.25
452,100.64
453,100.64
454,77.00
455,103.16
456,103.15
457,100.46
458,112.01
459,103.04
460,107.40
461,96.75
462,98.37
463,91.05
464,99.92
465,106.21
466,107.09
467,115.59
468,109.80
469,99.60
470,111.70
471,108.23
472,112.67
473,97.15
474,78.68
475,111.01
476,98.06
477,107.19
478,114.21
479,87.04
480,111.16
481,112.06
482,96.79
483,110.25
484,109.23
485,95.90
486,104.43
487,106.57
488,115.73
489,104.53
490,105.42
491,108.72
492,91.80
493,117.13
494,97.50
495,106.10
496,100.26
497,112.04
498,101.25
499,106.11
500,108.85
501,111.01
502,132.15
503,115.86
504,108.21
505,124.53
506,120.10
507,121.17
508,108.20
509,114.51
510,101.24
511,83.06
512,122.30
513,95.46
514,123.56
515,103.39
516,120.72
517,113.20
518,110.62
519,111.40
520,121.97
521,109.89
522,111.47
523,112.49
524,116.60
525,146.49
526,92.73
527,116.60
528,119.35
529,122.28
530,107.26
531,114.20
532,112.02
533,113.51
534,116.91
535,120.62
536,102.69
537,129.73
538,132.63
539,113.42
540,140.70
541,117.01
542,115.02
543,123.53
544,108.12
545,120.44
546,121.93
547,115.42
548,119.77
549,146.54
550,116.57
551,130.45
552,122.89
553,114.91
554,124.74
555,141.53
556,115.99
557,112.61
558,142.96
559,123.40
560,135.65
561,127.95
562,147.81
563,143.44
564,119.03
565,119.05
566,141.37
567,135.26
568,133.36
569,124.30
570,112.58
571,119.00
572,119.55
573,117.74
574,122.65
575,118.64
576,134.41
577,123.30
578,139.98
579,128.60
580,127.56
581,133.22
582,135.39
583,123.46
584,104.10
585,121.11
586,151.89
587,132.00
588,140.42
589,136.99
590,125.48
591,142.68
592,125.74
593,135.09
594,144.90
595,188.10
596,146.40
597,143.34
598,164.84
599,140.58
600,143.49
601,134.37
602,164.88
603,148.87
604,159.80
605,176.81
606,143.67
607,159.64
608,189.82
609,156.39
610,216.54
611,174.49
612,157.51
613,175.64
614,174.12
615,150.82
616,148.22
617,135.73
618,143.86
619,145.63
620,164.79
621,126.46
622,112.94
623,107.22
624,145.64
625,112.69
626,112.89
627,152.83
628,144.28
629,150.13
630,148.45
631,142.28
632,136.67
633,150.49
634,156.25
635,170.12
636,160.09
637,175.06
638,222.50
639,158.39
640,160.72
641,188.69
642,139.90
643,153.06
644,181.41
645,140.95
646,155.86
647,142.45
648,187.03
649,181.01
650,136.32
651,142.07
652,159.37
653,141.81
654,147.49
655,149.71
656,186.52
657,175.39
658,177.85
659,141.08
660,161.08
661,128.38
662,192.98
663,162.05
664,161.52
665,157.47
666,164.09
667,157.15
668,173.62
669,127.81
670,157.93
671,162.78
672,150.37
673,205.41
674,220.45
675,214.47
676,149.38
677,141.46
678,136.13
679,155.77
680,137.36
681,149.58
682,156.48
683,178.02
684,170.10
685,141.29
686,153.00
687,171.99
688,151.42
689,167.32
690,146.60
691,175.03
692,179.69
693,158.57
694,153.32
695,160.50
696,189.09
697,172.66
698,178.09
699,210.48
700,148.47
701,171.95
702,145.48
703,142.52
704,155.25
705,184.78
706,147.31
707,178.92
708,157.04
709,163.28
710,185.24
711,169.51
712,171.47
713,179.18
714,177.48
715,180.94
716,183.23
717,201.42
718,186.54
719,184.07
720,201.72
721,160.23
722,182.37
723,199.90
724,179.81
725,214.92
726,176.96
727,184.89
728,230.22
729,187.47
730,157.89
731,165.52
732,188.89
733,244.70
734,210.71
735,186.11
736,157.57
737,153.35
738,189.68
739,169.30
740,197.87
741,200.30
742,173.97
743,186.85
744,217.20
745,195.55
746,221.79
747,214.19
748,191.02
749,210.20
750,172.09
751,189.12
752,159.71
753,185.22
754,195.72
755,219.97
756,175.18
757,197.52
758,213.46
759,191.60
760,162.61
761,195.22
762,162.60
763,189.49
764,167.40
765,189.95
766,172.67
767,181.24
768,177.62
769,203.77
770,210.39
771,183.85
772,170.57
773,161.73
774,220.29
775,201.52
776,169.69
777,197.82
778,221.95
779,213.20
780,200.91
781,175.71
782,167.46
783,217.57
784,180.96
785,171.65
786,182.78
787,187.91
788,184.68
789,176.57
790,171.44
791,172.37
792,180.04
793,196.43
794,180.81
795,214.92
796,178.40
797,199.62
798,213.51
799,213.29
800,182.03
801,178.08
802,183.74
803,179.78
804,178.63
805,193.14
806,186.56
807,227.62
808,226.60
809,219.67
810,198.08
811,223.77
812,225.72
813,223.99
814,213.31
815,247.02
816,237.37
817,205.60
818,221.29
819,208.44
820,196.34
821,211.53
822,236.15
823,200.78
824,213.68
825,212.63
826,212.97
827,196.07
828,212.58
829,216.05
830,217.50
831,203.93
832,181.87
833,220.31
834,218.63
835,187.98
836,216.91
837,220.81
838,225.44
839,200.75
840,219.62
841,217.58
842,205.97
843,231.04
844,195.93
845,187.72
846,202.26
847,202.55
848,222.19
849,197.82
850,225.66
851,247.50
852,362.18
853,243.55
854,233.54
855,234.08
856,235.97
857,224.54
858,215.15
859,221.85
860,195.55
861,230.09
862,240.82
863,199.24
864,234.61
865,231.77
866,215.98
867,214.92
868,230.40
869,238.20
870,244.17
871,258.37
872,245.12
873,237.94
874,243.04
875,241.76
876,231.68
877,234.96
878,241.52
879,216.81
880,209.66
881,200.89
882,284.87
883,240.98
884,242.09
885,241.97
886,246.03
887,245.30
888,244.30
889,247.12
890,245.19
891,239.95
892,244.16
893,250.40
894,242.81
895,250.60
896,250.34
897,217.12
898,210.94
899,229.72
900,249.00
901,245.30
902,230.67
903,232.26
904,248.03
905,268.53
906,240.00
907,235.75
908,256.60
909,220.32
910,248.41
911,255.89
912,235.54
913,251.43
914,232.54
915,247.03
916,252.85
917,258.66
918,243.90
919,249.05
920,231.61
921,257.16
922,273.50
923,256.94
924,258.49
925,261.90
926,267.36
927,259.09
928,279.71
929,258.16
930,242.46
931,257.08
932,260.57
933,264.35
934,260.79
935,268.49
936,259.73
937,246.89
938,261.93
939,296.23
940,252.57
941,262.79
942,258.24
943,270.79
944,244.07
945,335.37
946,259.39
947,277.10
948,266.04
949,398.30
950,291.07
951,263.27
952,253.63
953,269.19
954,255.90
955,237.18
956,263.41
957,268.42
958,271.63
959,272.84
960,291.11
961,272.73
962,311.26
963,320.66
964,277.51
965,276.68
966,278.55
967,247.39
968,278.46
969,264.33
970,285.40
971,253.02
972,281.43
973,272.05
974,250.01
975,247.19
976,247.83
977,343.12
978,290.00
979,294.44
980,289.15
981,299.85
982,293.59
983,289.12
984,358.03
985,293.99
986,297.04
987,326.34
988,308.24
989,280.93
990,315.52
991,321.18
992,282.43
993,310.91
994,321.08
995,330.05
996,292.13
997,276.54
998,280.47
999,276.57
1000,241.85
1001,272.03
1002,250.18
1003,309.96
1004,277.41
1005,255.71
1006,249.06
1007,247.36
1008,317.80
1009,236.23
1010,287.85
1011,238.13
1012,238.50
1013,284.70
1014,284.08
1015,240.55
1016,253.53
1017,326.53
1018,270.36
1019,264.19
1020,258.09
1021,240.79
1022,289.43
1023,349.31
1024,428.00
1025,295.41
1026,290.54
1027,308.51
1028,344.10
1029,300.58
1030,280.16
1031,309.11
1032,283.16
1033,289.95
1034,311.33
1035,312.21
1036,316.91
1037,352.70
1038,321.52
1039,322.91
1040,319.01
1041,315.86
1042,315.90
1043,305.43
1044,316.96
1045,288.18
1046,313.62
