op_nr,time
0,40.12
1,53.16
2,43.19
3,44.42
4,22.33
5,48.99
6,44.81
7,29.50
8,22.10
9,23.23
10,20.92
11,45.27
12,33.79
13,22.37
14,43.12
15,44.72
16,34.07
17,29.91
18,75.92
19,58.38
20,45.01
21,27.77
22,45.15
23,46.40
24,49.47
25,29.26
26,31.70
27,45.70
28,46.17
29,28.28
30,52.20
31,46.53
32,27.47
33,18.85
34,27.97
35,39.99
36,40.31
37,55.63
38,33.92
39,65.49
40,31.91
41,65.64
42,41.77
43,36.11
44,46.58
45,27.61
46,42.69
47,32.16
48,40.20
49,32.35
50,29.71
51,35.56
52,58.95
53,38.96
54,70.44
55,68.51
56,72.22
57,57.16
58,71.10
59,49.70
60,53.43
61,25.21
62,31.36
63,54.98
64,48.50
65,27.56
66,52.97
67,60.73
68,31.82
69,87.43
70,50.31
71,63.31
72,65.99
73,45.99
74,71.37
75,66.22
76,71.95
77,58.19
78,56.52
79,50.74
80,49.60
81,30.64
82,33.63
83,49.25
84,48.94
85,32.83
86,49.43
87,48.69
88,55.59
89,49.44
90,25.80
91,33.74
92,49.85
93,50.64
94,53.55
95,66.89
96,25.57
97,23.93
98,51.66
99,48.49
100,50.18
101,34.47
102,54.37
103,46.44
104,52.79
105,50.84
106,49.91
107,49.68
108,34.54
109,60.00
110,50.21
111,51.78
112,36.10
113,27.19
114,53.40
115,54.99
116,37.84
117,51.91
118,52.07
119,35.86
120,52.63
121,51.06
122,61.42
123,28.90
124,55.84
125,51.10
126,36.66
127,51.52
128,53.02
129,55.19
130,30.36
131,35.18
132,53.30
133,30.62
134,55.00
135,36.93
136,57.59
137,51.92
138,37.32
139,35.85
140,57.41
141,52.70
142,30.62
143,63.97
144,37.85
145,52.34
146,53.06
147,32.21
148,53.20
149,53.88
150,59.66
151,32.52
152,53.02
153,54.56
154,53.40
155,46.37
156,54.44
157,57.44
158,53.66
159,33.97
160,28.32
161,53.59
162,54.32
163,56.01
164,62.85
165,32.40
166,56.23
167,54.28
168,54.47
169,54.68
170,34.44
171,64.51
172,54.91
173,40.22
174,38.09
175,39.19
176,56.36
177,56.94
178,55.06
179,39.08
180,55.58
181,55.02
182,55.71
183,55.81
184,78.84
185,64.55
186,63.11
187,55.90
188,56.95
189,34.78
190,57.57
191,58.10
192,62.13
193,41.34
194,41.17
195,56.59
196,56.45
197,56.43
198,56.54
199,62.26
200,57.02
201,35.05
202,64.44
203,57.16
204,57.17
205,57.41
206,74.32
207,57.47
208,38.15
209,58.44
210,35.96
211,58.19
212,36.15
213,70.11
214,58.64
215,120.67
216,79.15
217,64.69
218,61.79
219,58.37
220,41.90
221,59.60
222,36.55
223,61.25
224,43.57
225,58.98
226,59.27
227,53.86
228,60.20
229,59.11
230,59.51
231,39.20
232,59.50
233,65.41
234,74.60
235,59.92
236,39.13
237,59.70
238,60.33
239,60.38
240,38.41
241,64.09
242,60.97
243,63.23
244,38.21
245,34.13
246,60.86
247,60.82
248,52.59
249,61.60
250,40.96
251,45.91
252,39.41
253,60.60
254,60.90
255,50.22
256,61.27
257,61.62
258,61.34
259,61.42
260,61.60
261,61.96
262,80.27
263,63.02
264,68.12
265,63.44
266,47.53
267,42.08
268,62.96
269,71.98
270,63.90
271,62.38
272,62.48
273,64.18
274,40.49
275,36.00
276,39.75
277,62.90
278,40.05
279,44.57
280,64.52
281,64.78
282,48.47
283,68.70
284,63.11
285,48.81
