op_nr,time
0,107021
1,5929
2,22427
3,22473
4,22352
5,14492
6,8151
7,14628
8,8157
9,18620
10,15400
11,29741
12,19172
13,17511
14,34095
15,22904
16,21911
17,56784
18,32389
19,34471
20,10364
21,7163
22,21545
23,21390
24,14748
25,36488
26,8086
27,14838
28,18023
29,18148
30,13724
31,13273
32,19874
33,19137
34,32816
35,7795
36,14753
37,20120
38,14372
39,8176
40,14251
41,14292
42,8237
43,6235
44,14548
45,14637
46,12897
47,15606
48,13484
49,6952
50,8041
51,23607
52,7374
53,8447
54,31813
55,24489
56,24996
57,23391
58,23305
59,14026
60,22940
61,24002
62,16543
63,15781
64,27304
65,9606
66,14477
67,14356
68,19884
69,14617
70,8407
71,6345
72,14863
73,15541
74,17151
75,6782
76,16944
77,12024
78,22272
79,15926
80,6878
81,23351
82,16598
83,21083
84,20692
85,18621
86,18420
87,9149
88,13750
89,23837
90,23852
91,16840
92,7129
93,14879
94,14317
95,6967
96,14532
97,7971
98,14401
99,14396
100,8568
101,7866
102,27519
103,7158
104,12586
105,13704
106,5448
107,7886
108,14422
109,6721
110,5152
111,5357
112,14356
113,14442
114,14226
115,23722
116,16052
117,18851
118,23466
119,23616
120,14838
121,17190
122,17648
123,16433
124,9556
125,8373
126,15857
127,15877
128,16408
129,8317
130,15515
131,15314
132,21666
133,16092
134,15736
135,8448
136,16418
137,5819
138,18695
139,7003
140,16133
141,15756
142,14507
143,7816
144,22392
145,17241
146,14802
147,21084
148,9591
149,6963
150,7820
151,6822
152,7023
153,24976
154,6928
155,5287
156,6355
157,10880
158,5262
159,4891
160,13805
161,24620
162,8689
163,16494
164,16298
165,7991
166,4986
167,7916
168,14723
169,14467
170,22518
171,6957
172,14482
173,7023
174,19493
175,14191
176,14487
177,7294
178,14351
179,14447
180,8442
181,6491
182,7840
183,14035
184,7950
185,14060
186,14166
187,29641
188,20075
189,16624
190,23992
191,16795
192,9456
193,16107
194,16779
195,16303
196,9190
197,15615
198,22624
199,16278
200,8191
201,5478
202,25352
203,7003
204,27985
205,7409
206,5142
207,16183
208,11051
209,11302
210,8954
211,12545
212,9772
213,8849
214,9701
215,16945
216,23105
217,23622
218,15325
219,6651
220,6180
221,33222
222,7705
223,23150
224,21926
225,9165
226,19819
227,24444
228,10158
229,14362
230,16960
231,15089
232,8833
233,14271
234,7073
235,14352
236,14357
237,7037
238,20010
239,14346
240,7223
241,4770
242,14321
243,14386
244,11748
245,7991
246,14276
247,6597
248,14407
249,6657
250,5172
251,14643
252,8423
253,7791
254,6000
255,12952
256,14251
257,19824
258,11924
259,6235
260,7921
261,13303
262,14371
263,14131
264,14281
265,14773
266,14226
267,14748
268,6862
269,4841
270,14277
271,14276
272,28733
273,7384
274,14226
275,7394
276,8132
277,16233
278,7133
279,4956
280,14091
281,14161
282,7223
283,8407
284,9907
285,13669
286,11467
287,10138
288,9907
289,18821
290,9225
291,13363
292,17286
293,10173
294,8808
295,23360
296,7920
297,22297
298,19919
299,20968
300,20206
301,13960
302,13926
303,7007
304,14050
305,19137
306,23536
307,14076
308,7002
309,5086
310,14096
311,14406
312,14196
313,6972
314,14126
315,7017
316,13995
317,7093
318,5121
319,18449
320,6762
321,14091
322,14432
323,15099
324,14070
325,7078
326,7855
327,14045
328,14040
329,14105
330,14091
331,8186
332,8041
333,11808
334,14106
335,8162
336,14096
337,14010
338,13985
339,14115
340,22498
341,14026
342,14011
343,14497
344,15305
345,14702
346,5574
347,13464
348,14456
349,8703
350,14562
351,7384
352,10499
353,11823
354,10374
355,11005
356,11823
357,20907
358,11703
359,9466
360,10645
361,18726
362,14286
363,12982
364,23235
365,22407
366,22643
367,25132
368,6832
369,8026
370,14427
371,8031
372,12611
373,14266
374,14858
375,5051
376,14352
377,6867
378,8217
379,14337
